Section,Item,Format,Example / Notes,Status,Owner,Due Date
Brand Setup,Brand short name,Text,"e.g. RQI, FSSA, FSI",,, 
Brand Setup,Brand full name,Text,"e.g. Realindex Investments",,, 
Brand Setup,Quarter label,Text,"e.g. Q1 2026",,, 
Brand Setup,Date period,Text,"e.g. 1st Jan – 31st Mar 2026",,, 
Brand Setup,Report title,Text,"e.g. Global marketing impact report",,, 
Brand Setup,Report subtitle,Text,One-line summary,,, 
Brand Setup,Tagline,Text,Short punchy line,,, 
Brand Setup,Primary dark BG hex,Hex colour,"e.g. #052332",,, 
Brand Setup,Accent colour hex,Hex colour,"e.g. #FF5424",,, 
Brand Setup,Cream/light BG hex,Hex colour,"e.g. #F2EBE6",,, 
Brand Setup,Muted/secondary hex,Hex colour,"e.g. #214E6F",,, 
Brand Setup,Font name + Google Fonts URL,Text + URL,Or confirm Plus Jakarta Sans,,, 
Brand Setup,Hero background image,PNG/JPG 1920×1080+,Landscape photo or illustration,,, 
Brand Setup,Brand logo (SVG),SVG,For footer and splash screen,,, 
Global Focus,Priority 1 — title + description,Text,Strategic priority for the quarter,,, 
Global Focus,Priority 2 — title + description,Text,Strategic priority for the quarter,,, 
Global Focus,Priority 3 — title + description,Text,Strategic priority for the quarter,,, 
Performance Results,Awareness channels,JSON/Table,"Channel name, metrics, comparison, status (good/below/inactive)",,, 
Performance Results,Consideration channels,JSON/Table,Same format as above,,, 
Performance Results,Conversion channels,JSON/Table,Same format as above,,, 
Performance Results,Service & Loyalty channels,JSON/Table,Same format as above,,, 
Search Visibility,Description paragraph,Text,Summary of search performance,,, 
Search Visibility,Goal statement,Text,What we're trying to achieve,,, 
Search Visibility,Marketing activities list,Text list,Bullet points,,, 
Search Visibility,KPIs (value + label + comparison),JSON/Table,2-4 KPIs,,, 
Search Visibility,Monthly keyword rankings by competitor,CSV/JSON,"12+ months, columns per competitor",,, 
Search Visibility,Focus areas,Text list,Current focus,,, 
Search Visibility,Next quarter goals,Text list,Forward-looking,,, 
Campaign 1,Campaign name,Text,,,, 
Campaign 1,Stage,Text,"Awareness, Consideration, etc.",,, 
Campaign 1,Subtitle,Text,One-line summary,,, 
Campaign 1,Description,Text,2-3 sentence overview,,, 
Campaign 1,Goals,Text list,2-3 bullet points,,, 
Campaign 1,Formats,Text list,"e.g. LinkedIn Ads, 287k impressions",,, 
Campaign 1,Key results (value + label + comparison),JSON/Table,2-4 KPIs,,, 
Campaign 1,Chart data,CSV/JSON,Monthly performance metrics,,, 
Campaign 1,Audience data (countries),JSON/Table,"Country name, percentage — if applicable",,, 
Campaign 1,Audience data (top companies),JSON/Table,"Company, sector, views — if applicable",,, 
Campaign 1,Phone mockup images,PNG × 1-2,375×812 transparent background,,, 
Campaign 1,Ad creative images,JPG × 1-6,1200×628 LinkedIn ad format,,, 
Campaign 1,Chart page background image,JPG,1920×1080,,, 
Campaign 2,Repeat all Campaign 1 items,—,Copy rows above for each additional campaign,,, 
Campaign 3,Repeat all Campaign 1 items,—,Copy rows above for each additional campaign,,, 
Website,Section title,Text,,,, 
Website,Stage label,Text,,,, 
Website,Subtitle,Text,,,, 
Website,Description,Text,,,, 
Website,KPIs (value + label + comparison),JSON/Table,3-5 KPIs,,, 
Website,Q4 focus items,Text list,What we focused on this quarter,,, 
Website,Q1 focus items,Text list,What's next,,, 
Website,GA monthly data,CSV/JSON,"month, users, sessions, pageviews, avgDuration",,, 
Website,Top pages,CSV/JSON,"page name, views, change %",,, 
Website,Traffic sources,CSV/JSON,"source, sessions, percentage",,, 
LinkedIn,Quarterly KPIs,JSON/Table,"impressions, engagementRate, followers, topPost",,, 
LinkedIn,Monthly data (24 months),CSV/JSON,"month, organic impressions, sponsored impressions",,, 
LinkedIn,Quarterly comparison data,CSV/JSON,"quarter, impressions, engagement, followers",,, 
LinkedIn,Daily engagement heatmap,CSV/JSON,"day, hour, value — for current quarter",,, 
Podcast,KPIs,JSON/Table,"totalStreams, avgPerEpisode, topEpisode, platforms",,, 
Podcast,Episodes list,CSV/JSON,"title, streams, date, duration, guests",,, 
Podcast,Monthly streams,CSV/JSON,"month, streams",,, 
Events,KPIs,JSON/Table,"totalEvents, totalAttendees, regionsReached",,, 
Events,Events list,CSV/JSON,"name, format, audience, region, quarter, status, category, city, lat, lng, dates, etc.",,, 
Sentiment,KPIs,JSON/Table,"totalMentions, positiveRate, countriesReached, topChannel",,, 
Sentiment,Sentiment breakdown,JSON,"{ positive, neutral, negative }",,, 
Sentiment,Monthly timeline,CSV/JSON,"month, positive, neutral, negative, total",,, 
Sentiment,Channel breakdown,CSV/JSON,"channel, mentions, positive, neutral, negative",,, 
Sentiment,Country breakdown,CSV/JSON,"country, mentions",,, 
Sentiment,Notable highlights / mentions,CSV/JSON,"title, source, channel, sentiment, country, date, link",,, 
Final QA,All brand colours applied consistently,Checkbox,Review all sections,,, 
Final QA,No template brand text remaining,Checkbox,Search for old brand name,,, 
Final QA,All charts render with new data,Checkbox,Check each tab,,, 
Final QA,Mobile responsive check,Checkbox,Test at 375px width,,, 
Final QA,Splash screen logo correct,Checkbox,,,, 
Final QA,Navigation links match sections,Checkbox,,,, 
Final QA,All external links working,Checkbox,Spot-check sentiment links,,, 
